Date	test-rig	test-tag	dut-hw-version	dut-sw-version	dut-model-num	dut-serial-num	test-priority	test-id	short-description	pass/fail	numeric-score	test details	Units	Graph-Group	Subtest-Pass	Subtest-Fail
1658411804247			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.1.1 Receiver Sensitivity Test	FAIL	41.55844155844156	2.4Ghz passed 0 / 16 Fail-Avg: 16.0 2.4Ghz Failed-by-steps: 256.0 Passed-by-steps: 0.0 5Ghz passed 12 / 16 Fail-Avg: 21.0 Pass-Avg: 20.3 5Ghz Failed-by-steps: 84.0 Passed-by-steps: 244.0 	Score	Score	12	20
1658412192316			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.2.1 Maximum Connection Test (32-STA)	FAIL	86.4142369988952	Throughput: 2.4Ghz UL 100.16% DL 102.11%  Throughput: 5Ghz UL 55.08% DL 105.84%  Passed PER: 105 / 128	Score	Score	105	23
1658412497489			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.2.2 Maximum TCP Throughput Test	FAIL	91.76651874999999	Throughput 2.4Ghz UL 92.32% DL 111.96%  Throughput 5Ghz UL 81.36% DL 81.43%  	Score	Score	1	3
1658412997903			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.2.3 Airtime Fairness Test	FAIL	42.857142857142854	5Ghz passed 2 / 7 2.4Ghz passed 4 / 7 <i>Candela is not convinced these pass/fail metrics are very helpful.</i>	Score	Score	6	8
1658416821936			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.3.1 Range Versus Rate Test	FAIL	49.660633484162894	5Ghz UL 11 / 13 DL 11 / 13  2.4Ghz UL 0 / 17 DL 5 / 17 	Score	Score	27	33
1658426178434			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.3.2 Spatial Consistency Test	FAIL	62.49999999999999	5Ghz passed 11 / 12 2.4Ghz passed 4 / 12 	Score	Score	15	9
1658427162554			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.4.1 Multiple STAs Performance Test	FAIL	75.0	2.4Ghz Passed 5 / 6 5Ghz Passed 4 / 6 	Score	Score	9	3
1658427514197			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.4.2 Multiple Association /<br>Disassociation Stability Test	FAIL	98.75	2.4Ghz Passed 954 / 960 5Ghz Passed 942 / 960 	Score	Score	1896	24
1658427999952			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.4.3 Downlink MU-MIMO Performance Test	FAIL	79.78719757372049	Passed: 1 / 3  Single Throughput Sum: 1,100.64 Mbps  SU-MIMO Throughput Sum: 246.86 Mbps  MU-MIMO Throughput Sum: 246.24 Mbps	Score	Score	1	2
1658429204606			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.5.2 AP Coexistence Test	FAIL	160.97079948241753	Passed 7 / 8	Score	Score	7	1
1658453344877			A4:81:7A:C8:30:76	R4.2.23.079r-OLDCPU			100	TR_398	6.5.1 Long Term Stability Test	FAIL	93.68932038834951	2.4Ghz Throughput Avg 104.48 Mbps Passed: 99 / 100  2.4Ghz Packet Error Rate Passed: 3 / 3  5Ghz Throughput Avg 520.81 Mbps Passed: 90 / 100  5Ghz Packet Error Rate Passed: 1 / 3  	Score	Score	193	13
